title,title_name,make,modelname,modelnameq,modelno,modelnoq
"1999 Boeing 737-800 Available for immediate ACMI lease","Boeing 737-800",Boeing,NULL,NULL,737,737-800
"Aircraft Available for immediate ACMI lease","Boeing 737-500",Boeing,NULL,NULL,737,737-500
"1977 Cessna 172XP for sale",NULL,Cessna,"Hawk XP",NULL,NULL,NULL
"1999 Cessna 206H for sale",NULL,Cessna,206H,NULL,NULL,NULL
"1978 Cessna 207A for sale",NULL,Cessna,207A,NULL,NULL,NULL
"1959 Cessna 310C for sale",NULL,Cessna,310C,NULL,NULL,NULL
"1971 Cessna 414 Chancellor for sale","Cessna 414 Chancellor",Cessna,Chancellor,NULL,414,NULL
"2010 Cessna 510 Citation Mustang for sale",NULL,Cessna,510,NULL,NULL,NULL
"1990 Cessna Reims F406 for sale","Cessna F406 Caravan II",Cessna,Caravan,NULL,208,F406
"2006 Cessna T206 Stationair for sale","Cessna T206 Turbo Stationair",Cessna,Stationair,NULL,206,T206
"2006 Cirrus SR-22G2 GTS available for sale",NULL,Cirrus,SR-22G2,NULL,NULL,NULL
"1977 Enstrom 280C for sale","Enstrom F-280C",Enstrom,NULL,NULL,F-280,F-280C
"2005 Enstrom 280FX for sale","Enstrom F-280FX",Enstrom,NULL,NULL,F-280,F-280FX
"2006 Enstrom 480-B for sale",NULL,Enstrom,F-480B,NULL,NULL,NULL
"Hydarulic Ground Handling for sale",NULL,Eurocopter,"AS 350",NULL,NULL,NULL
"Simplex model 5100 Spray System for sale",NULL,Eurocopter,"AS 350",NULL,NULL,NULL
"1989 Eurocopter AS350 B2 Ecureuil for sale or dry lease",NULL,Eurocopter,"AS 350B2",NULL,NULL,NULL
"2007 Eurocopter AS350 B2 Ecureuil for sale",NULL,Eurocopter,"AS 350B2",NULL,NULL,NULL
"AS350 B3 for lease",NULL,Eurocopter,"AS 350B3",NULL,NULL,NULL
"2011 AS 350B3 for delivery May 2011",NULL,Eurocopter,"AS 350B3",NULL,NULL,NULL
"1981 AS350 BA for sale",NULL,Eurocopter,"AS 350BA",NULL,NULL,NULL
"1990 Eurocopter AS 350BA Ecureuil for sale",NULL,Eurocopter,"AS 350BA",NULL,NULL,NULL
"1979 Aerospatiale AS350B Ecureuil for sale","Eurocopter AS 350B Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B"
"1998 Eurocopter EC 120B for sale.TSN 1650h","Eurocopter EC 120B",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
"1996 Eurocopter SA 315B Lama for sale",NULL,Eurocopter,"SA 315B",NULL,NULL,NULL
"1959 Eurocopter SE 3130 for sale",NULL,Eurocopter,"SE 3130",NULL,NULL,NULL
"Fokker F100 available for immediate ACMI lease","Fokker 100",Fokker,NULL,NULL,100,NULL
"1971 Fokker F27 available for Sale / Dry / Wet Lease",NULL,Fokker,F.27,NULL,NULL,NULL
"2009 Glasair III for sale",NULL,Stoddard-Hamilton,"Glasair III",NULL,NULL,NULL
"Grumman G44 Widgeon",NULL,Grumman,Widgeon,NULL,NULL,NULL
"2011 Guimbal Cabri G2 Sale",NULL,Guimbal,Cabri,NULL,NULL,NULL
"Turbo Jet - Hispano Aviacion HA-200 Saeta",NULL,"Hispano Aviación",HA-200,NULL,NULL,NULL
"2006 Hawker 400XP for sale","Hawker Siddeley 125-400XP","Hawker Siddeley",NULL,NULL,125,125-400XP
"1987 Hawker 800B for sale","Hawker Siddeley 125-800B","Hawker Siddeley",NULL,NULL,125,125-800B
"1978 Hughes 269C for sale","Hughes 269C",Hughes,NULL,NULL,269,269C
"1979 Hughes 300C for sale",NULL,Hughes,300C,NULL,NULL,NULL
"1983 LET L-410 Turbolet for ACMI / Dry Lease","Let L-410 Turbolet",Let,Turbolet,NULL,L-410,NULL
"2009 MD Helicopter 500E for sale",NULL,"MD Helicopters",500E,NULL,NULL,NULL
"2009 MD Helicopter 500E for sale",NULL,"MD Helicopters",500E,NULL,NULL,NULL
"2011 MD Helicopter 500E for sale",NULL,"MD Helicopters",500E,NULL,NULL,NULL
"1999 MD Helicopter 520N Notar for sale",NULL,"MD Helicopters",520N,NULL,NULL,NULL
"2013 MD530FF/MD540FF line position for sale",NULL,"MD Helicopters",530F,NULL,NULL,NULL
"1995 McDonnell Douglas MD-82 for ACMI Lease","McDonnell Douglas MD-80-82","McDonnell Douglas",NULL,NULL,MD-80,MD-80-82
"2007 MD Helicopter 902 Explorer for sale",NULL,"MD Helicopters",Explorer,NULL,NULL,NULL
"The Nigerian Air Force is auctioning the following military aircraft","MiG 15 BIS",MiG,NULL,NULL,15,"15 BIS"
"The Nigerian Air Force is selling the following military aircraft","MiG 15 BIS",MiG,NULL,NULL,NULL,NULL
"2x MIL MI-8MTV-1 for Lease",NULL,Mil,MI-8MTV-1,NULL,NULL,NULL
"1981 Mooney 231/252 Rocket for sale",NULL,Mooney,Rocket,NULL,NULL,NULL
"1958 North American T-28B for sale",NULL,"North American",T-28B,NULL,NULL,NULL
"1968 Piper PA-24-260B for sale","Piper PA-24-260B Comanche",Piper,Comanche,NULL,PA-24,PA-24-260B
"2006 Piper PA28-161 Warrior III for sale","Piper PA-28-161 Warrior III",Piper,Cherokee,NULL,PA-28,PA-28-161
"1973 Piper PA31 Chieftain for sale","Piper PA-31-350 Chieftain",Piper,Navajo,NULL,PA-31,PA-31-350
"1978 Piper PA31-350 Chieftain for sale","Piper PA-31-350 Chieftain",Piper,Navajo,NULL,PA-31,PA-31-350
"1980 Piper PA-32 Turbo Saratoga for sale",NULL,Piper,PA-32,NULL,NULL,NULL
"1998 Piper PA34-220T Seneca V for sale","Piper PA-34-220T Seneca V",Piper,Seneca,NULL,PA-34,PA-34-220T
"1991 Robinson R-22 Betafor sale",NULL,Robinson,R-22,NULL,NULL,NULL
"1989 Robinson R22 Mariner for sale",NULL,Robinson,R-22,NULL,NULL,NULL
"2006 Robinson R44 Raven I for sale","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"2007 Robinson R44 Raven II for sale",NULL,Robinson,R-44,NULL,NULL,NULL
"2009 Roko Aero NG4 Ultralight / LSA-plane Metal frame for sale",NULL,"Roko Aero",NG4,NULL,NULL,NULL
"1997 Saab 2000 available for ACMI Lease","Saab 2000",Saab,NULL,NULL,2000,NULL
"2006 Schweizer 300C for sale","Schweizer 300C",Schweizer,NULL,NULL,300,300C
"1932 Spartan Aircraft Spartan II for sale","Simmonds/Spartan Aircraft Spartan Three Seater","Simmonds/Spartan Aircraft",Spartan,NULL,NULL,NULL
"1990 Stemme S10V for sale",NULL,Stemme,S-10V,NULL,NULL,NULL
"Twin Commander 690a 1976  - AERIAL SURVEY – DUAL LARGE FORMAT HATCHES.",NULL,"Aero Commander",690A,NULL,NULL,NULL
"2002 Beechcraft Kingair C90B available for Sale","Beech C90B King Air",Beech,"King Air",NULL,90,C90B
"2009 Bell 407 for sale",NULL,Bell,407,NULL,NULL,NULL
"1985 Eurocopter AS 355FX2 for sale","Eurocopter AS 355FX2 Ecureuil II",Eurocopter,Ecureuil,NULL,"AS 355","AS 355FX2"
"Mooney M20C 1962 for Sale",NULL,Mooney,M20C,NULL,NULL,NULL
"2001 Micco SP26 360TTAFE three blade prop, full acro package, GPS, auto pilot.",NULL,Micco,SP26,NULL,NULL,NULL
"1976 Piper Low Air Frame Pawnee PA-25-260 for sale.",NULL,Piper,PA-25-260,NULL,NULL,NULL
"1973 Cessna 182-P w/floats FOR SALE.","Cessna 182P Skylane",Cessna,182P,NULL,NULL,NULL
"1992 Agusta A109K2 for sale.","Agusta A109K II",Agusta,NULL,NULL,A109,"A109K II"
"This is an excellent aircraft",NULL,Boeing,747-209,NULL,NULL,NULL
NULL,NULL,"Aces High","Cuby I",NULL,NULL,NULL
"1990 Bell Jetranger 206B3",NULL,Bell,206B3,NULL,NULL,NULL
"EUROCOPTER AS350B2 - Best Bidder","Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"EUROCOPTER AS350B3","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"EUROCOPTER AS350B3 - Best Bidder","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"777-300ER For Sell",NULL,Boeing,777-300ER,NULL,NULL,NULL
NULL,NULL,Cessna,"Citation X",NULL,NULL,NULL
"Quickie Tri-Q200 (unfinished)",NULL,Quickie,Tri-Q,NULL,NULL,NULL
NULL,NULL,Cessna,182Q,NULL,NULL,NULL
"Beautiful business LONG RANGE Cessna F-172-M with sunroof, new paint, new interiour and GNS430","Cessna F172M",Cessna,NULL,NULL,172,F172M
NULL,"Air Tractor AT-802A","Air Tractor",NULL,NULL,AT-802,AT-802A
"Cessna 340A Extended Range Fuel Tanks",NULL,Cessna,340A,NULL,NULL,NULL
"Eurocopter AS 355NP For Sale",NULL,Eurocopter,"AS 355NP",NULL,NULL,NULL
"LUSCOMBE 11A SEDAN VERY RARE",NULL,Luscombe,11a,NULL,NULL,NULL
"Cessna 206H Amphibian","Cessna 206H",Cessna,NULL,NULL,206,206H
"cessna 180h amphib",NULL,Cessna,180H,NULL,NULL,NULL
NULL,"Schweizer 300C",Schweizer,NULL,NULL,300,300C
Aerobat,NULL,Cessna,150,NULL,NULL,NULL
NULL,"Robinson R-44 Clipper II",Robinson,Clipper,NULL,R-44,NULL
NULL,NULL,Pitts,"Super Stinker",NULL,NULL,NULL
"130 Total Time","Grumman AA5A Cheetah",Grumman,Cheetah,NULL,AA5,AA5A
NULL,NULL,Bell,206B3,NULL,NULL,NULL
NULL,NULL,"Aero Commander",NULL,NULL,NULL,NULL
NULL,NULL,"Acro Sport Inc.","Pober Junior Ace",NULL,NULL,NULL
"Colemill Executive Hot Rod",NULL,Cessna,320C,NULL,NULL,NULL
"Sylark Dova DV-1 Rotax 912 ULS",NULL,"Dova Aircraft",DV-1,NULL,NULL,NULL
"Auster Immaculate Cond.","Auster J-5G",Auster,NULL,NULL,J-5,J-5G
"1999 TeST Alpin TM Motorglider",NULL,TeST,"Alpin TM",NULL,NULL,NULL
NULL,NULL,Schweizer,300CB,NULL,NULL,NULL
"Low Time VFR 212","Bell 212",Bell,NULL,NULL,212,NULL
"mostly restored warbird","Lockheed B-34/PV-2 Harpoon",Lockheed,Ventura,NULL,B-34,B-34/PV-2
"G-WARR PA28 161 WARRIOR",NULL,Piper,PA-28-161,NULL,NULL,NULL
NULL,"Eurocopter SA 318C Alouette",Eurocopter,Alouette,NULL,"SA 318","SA 318C"
"Pathmaker, AULA",NULL,Ekolot,JK-05,NULL,NULL,NULL
"Piper Turbo Saratoga SP - PA-32R-301T",NULL,Piper,"Turbo Saratoga SP",NULL,NULL,NULL
"Piper Malibu 310 P",NULL,Piper,PA-46-310P,NULL,NULL,NULL
NULL,"Cessna 180 Skywagon",Cessna,Skywagon,NULL,180,NULL
NULL,NULL,Adams,A55S,NULL,NULL,NULL
"AN-2 TD with  ENGINE TT ONLY 58h !!!!!! PRIVAT OWNER","Antonov An-2TD Colt",Antonov,Colt,NULL,An-2,An-2TD
"Enstrom 280 FX Sharc",NULL,Enstrom,F-280FX,NULL,NULL,NULL
NULL,NULL,Boeing,737-229C,NULL,NULL,NULL
"Standard Certified Factory Build","Pitts S1-T",Pitts,NULL,NULL,S1,S1-T
NULL,NULL,"Extra Flugzeugbau",EA-300S,NULL,NULL,NULL
"Supercub L-21B Warbird","Piper PA-18-160 Super Cub",Piper,Cub,NULL,PA-18,PA-18-160
"Challenger II 582 Premium Kit",NULL,"Quad City","Challenger II",NULL,NULL,NULL
"IL-76 for Wet Lease in Africa (preferably)",NULL,Ilyushin,IL-76TD,NULL,NULL,NULL
"IL-76 for Wet Lease in Africa (preferably)",NULL,Ilyushin,IL-76TD,NULL,NULL,NULL
"IL-76 for Wet Lease in Africa (preferably)",NULL,Ilyushin,IL-76TD,NULL,NULL,NULL
"B737-200 PAX 111 -17A ENG GRAVEL EQUIPED","Boeing 737-201",Boeing,NULL,NULL,737,737-201
"Flight Design  CTLS Advanced Europe",NULL,"Flight Design",CTLS,NULL,NULL,NULL
"MXP-640 Amigo",NULL,I.C.P.,Amigo,NULL,NULL,NULL
"Comco Ikarus C42",NULL,"Comco Ikarus",C-42,NULL,NULL,NULL
"BEST VALUE & DEAL","Learjet 60-XR",Learjet,NULL,NULL,60,60-XR
"NEXT TO SELL","Beech 400A Beechjet",Beech,Beechjet,NULL,400,400A
"NEXT ONE TO SELL","Bombardier Challenger 605",Bombardier,Challenger,NULL,NULL,NULL
"FLIR HD aerial camera for sale",NULL,Robinson,NewsCopter,NULL,NULL,NULL
"Cessna 210","Cessna 210G Centurion",Cessna,Centurion,NULL,210,210G
NULL,"Piper PA-46-500TP Malibu Meridian",Piper,Malibu,NULL,PA-46,PA-46-500TP
"Big engine, Big prop, Big floats, Big performance!","Cessna 175 Skylark",Cessna,Skylark,NULL,175,NULL
"2008 Cessna 172S Skyhawk SP with NAV III (G1000), GFC700 Autopilot and WAAS","Cessna 172S Skyhawk SP",Cessna,Skyhawk,NULL,172,172S
"Sky Raider Oshkosh Grand Champion","Flying K Enterprises Sky Raider II","Flying K Enterprises","Sky Raider",NULL,NULL,NULL
"Enstrom 280FX Shark","Enstrom F-280FX Shark",Enstrom,Shark,NULL,F-280,F-280FX
"1998 Maule MXT-7-180A   $30K Avionics Upgrade 2012",NULL,Maule,MXT7-180A,NULL,NULL,NULL
"Exceptional Specification MD-520N very low hours","McDonnell Douglas MD-520N","McDonnell Douglas",NULL,NULL,MD-520,MD-520N
"Nice and clean R44 Raven 1 for sale","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"VIP Metallic Black MD900","McDonnell Douglas MD-900 MD Explorer","McDonnell Douglas","MD Explorer",NULL,MD-900,NULL
"Exceptional VVIP MD902 Explorer","McDonnell Douglas MD-902 MD Explorer","McDonnell Douglas","MD Explorer",NULL,MD-902,NULL
"Beautiful Inside and Out","Cessna 182 Skylane II",Cessna,Skylane,NULL,182,NULL
"Agusta Bell 206","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
"Superb Enstrom 480B","Enstrom F-480B",Enstrom,NULL,NULL,F-480,F-480B
"Fully Reloaded King Air B200-G1000","Beech B200 King Air",Beech,"King Air",NULL,200,B200
"Beautiful Citation Bravo-Recent Paint and Interior","Cessna 550 Citation Bravo",Cessna,Citation,NULL,5??,550
"Late Model Hawker 400XP","Hawker Siddeley 125-400XP",Beech,NULL,NULL,125,125-400XP
"A36 Bonanza Jaguar Edition","Beech A36 Bonanza",Beech,Bonanza,NULL,3?,A36
"Beechjet 400A-Low Total Time!","Beech 400A Beechjet",Beech,Beechjet,NULL,400,400A
"Low time REMAN engines","Beech 95-B55 Baron",Beech,Baron,NULL,5?,95-B55
"aircraft for sale low time and good records","Bell 212 Iroquois (Twin Huey)",Bell,212/UH-1N,NULL,NULL,NULL
"1965 Twin Comanche","Piper PA-30 Twin Comanche",Piper,Comanche,NULL,PA-30,NULL
"1978 Lockheed JetStar II  Stage III Cert.","Lockheed L-1329 Jetstar II",Lockheed,Jetstar,NULL,L-1329,NULL
"2010 Royal Turbine Duke","Beech 60 Duke",Beech,Duke,NULL,60,NULL
"1969 Cessna 401A","Cessna 401A",Cessna,NULL,NULL,401,401A
"No Damage History  New Paint 2013","Bell 407",Bell,NULL,NULL,407,NULL
"180HP / FLOATKIT & V-BRACE","Cessna 172L",Cessna,NULL,NULL,172,172L
"Cameron A-400 Complete System /w Truck (Turnkey System",NULL,"Cameron Balloons","Complete System",NULL,NULL,NULL
NULL,"Eurocopter AS 355N Ecureuil II",Eurocopter,Ecureuil,NULL,"AS 355","AS 355N"
NULL,"Mil MI-8MTV-1",Mil,MI-8MTV-1,NULL,NULL,NULL
"New to Market:  Well Equipped Lear 45XR","Learjet 45-XR",Learjet,NULL,NULL,45,45-XR
"Motivated Seller:  Lear 31A","Learjet 31A",Learjet,NULL,NULL,30,31A
"Meticulously Maintained 1994 Citation Jet","Cessna 525 Citation CJ1",Cessna,Citation,NULL,5??,525
NULL,Bell,Bell,NULL,NULL,NULL,NULL
"2003 Hawker 800XP","Hawker Siddeley 125-800XP","Hawker Siddeley",NULL,NULL,125,125-800XP
"FOR SALE: 2004 Sikorsky S76C+, 1400TT",NULL,Sikorsky,S-76C+,NULL,NULL,NULL
"FOR SALE: 2003 Eurocopter EC155B, 960TT",NULL,Eurocopter,"EC 155B",NULL,NULL,NULL
"FOR SALE: 2003 Eurocopter EC130B4, 1530TT",NULL,Eurocopter,"EC 130-B4",NULL,NULL,NULL
"FOR SALE: 1981 Eurocopter AS350BA, 15,043TT",NULL,Eurocopter,"AS 350BA",NULL,NULL,NULL
"FOR SALE: 2011 Eurocopter EC135T2+, 80TT",NULL,Eurocopter,"EC 135T2+",NULL,NULL,NULL
"Eurocopter EC120 - Private","Eurocopter EC 120 Colibri",Eurocopter,Colibri,NULL,"EC 120",NULL
"Brand new factory build SAM LS",NULL,"Sam Aircraft","SAM LS",NULL,NULL,NULL
NULL,"Cessna 414 Chancellor",Cessna,Chancellor,NULL,414,NULL
"P-750 XL Agricultural/Survey Aircraft","PAC NZ P-750 XL","PAC NZ",NULL,NULL,"P-750 XL",NULL
"Global Express - Replacement Aircraft in service Now !",NULL,Bombardier,BD-700,NULL,NULL,NULL
"1997 Challenger 850 Available immediately",NULL,Bombardier,"Challenger 850SE",NULL,NULL,NULL
"Low Time Challenger 604",NULL,Bombardier,"Challenger 604",NULL,NULL,NULL
"NEW TO MARKET:  1977 King Air 200","Beech 200 King Air",Beech,"King Air",NULL,200,NULL
"Express S-90 Taildragger",NULL,Wheeler,Express,NULL,NULL,NULL
"Rockwell Aero Commander  100-108 Lark",NULL,"Aero Commander",Lark,NULL,NULL,NULL
NULL,"Beech 60",Beech,60,NULL,NULL,NULL
NULL,"Beech Beechjet",Beech,Beechjet,NULL,NULL,NULL
"Perfect for A&P School!","Rockwell Sabreliner",Rockwell,Sabreliner,NULL,NULL,NULL
"Price Reduced! EASA, MSP+Smart Parts Plus! Int + Ext NEW",NULL,Bombardier,"Challenger 300",NULL,NULL,NULL
"King Air C90 GT",NULL,Beech,"King Air",NULL,NULL,NULL
NULL,NULL,Boeing,737-300-3C1,NULL,NULL,NULL
NULL,NULL,Boeing,737-300-3B2,NULL,NULL,NULL
"VIP business jet",NULL,AVRO,NULL,NULL,NULL,NULL
NULL,NULL,ATR,42-300,NULL,NULL,NULL
NULL,NULL,BAe,146-200,NULL,NULL,NULL
"Nice Debonair with IO-520 (285 HP)",NULL,Beech,35-A33,NULL,NULL,NULL
"4305TT, 677 SFOH Hangared Midwest Based","Piper PA-28-180D Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-180D
"AgustaWestland AW139 VVIP NEW!","Agusta AW139",Agusta,AW139,NULL,NULL,NULL
"1961 Beech Bonanza N35","Beech N35 Bonanza",Beech,Bonanza,NULL,3?,N35
"Executive Jetstream 31 with Autopilot & Water/Meth","BAe J-31 Jetstream",BAe,Jetstream,NULL,J-31,NULL
"Changed engine and blade main rotor ok","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"MD80 - Complete aircraft excl engines","McDonnell Douglas MD-80-83","McDonnell Douglas",NULL,NULL,MD-80,MD-80-83
NULL,NULL,"Fairchild Aircraft",NULL,NULL,NULL,NULL
"Newly Refurbished AS355 F1","Eurocopter AS 355F1 Ecureuil II",Eurocopter,Ecureuil,NULL,"AS 355","AS 355F1"
"R44 Raven 1*Engine OVH´d with 500h remaining","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"Very Low Time Engines and Propellers",NULL,Cessna,421C,NULL,NULL,NULL
NULL,NULL,"Fairchild Swearingen","Metro 23",NULL,NULL,NULL
"King Air B350",NULL,Beech,B350,NULL,NULL,NULL
"1972 Cherokee 140","Piper PA-28-140 Cherokee Cruiser",Piper,Cherokee,NULL,PA-28,PA-28-140
"2009 Jabiru J230-SP","Jabiru J230",Jabiru,NULL,NULL,J230,NULL
"For sale","Bell 205/UH-1H Iroquois (Huey)",Bell,"Iroquois (Huey)",NULL,205,205/UH-1H
"Such a Deal!!","Hawker Siddeley 900XP","Hawker Siddeley",NULL,NULL,900,900XP
"Like New!  Loaded!","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
"Cessna 310R in good condition","Cessna 310R",Cessna,NULL,NULL,310,310R
"Make Your Best Offer!!   Highly Motivated Seller!!","Cessna 560 Citation V",Cessna,Citation,NULL,5??,560
"Great Flight Trainer!  Bank Owned!","AMD Alarus",AMD,Alarus,NULL,NULL,NULL
"Amphibian Nearly New Total Refurb.","Cessna 185E Skywagon",Cessna,185E,NULL,NULL,NULL
"CESSNA CITATION II  ABSOLUTE AUCTION",NULL,Cessna,"Citation II",NULL,NULL,NULL
"Great plane at a great price","Cirrus SR-22",Cirrus,SR-22,NULL,NULL,NULL
"Cessna Citation Bravo for sale","Cessna 550 Citation Bravo",Cessna,550,NULL,NULL,NULL
"Cessna Citation III for sale","Cessna 650 Citation III",Cessna,650,NULL,NULL,NULL
"Beechcraft B200 KingAir for sale","Beech B200 King Air",Beech,"King Air",NULL,NULL,NULL
"C-404 Cargoliner","Cessna 404",Cessna,NULL,NULL,404,NULL
NULL,"Piper PA-31T2 Cheyenne II-XL",Piper,Cheyenne,NULL,PA-31,PA-31T2
NULL,"Piaggio P.180",Piaggio,NULL,NULL,P.180,NULL
NULL,"Pilatus PC-6/B2-H2 Turbo Porter","Fairchild Aircraft",Porter,NULL,PC-6,PC-6/B2-H2
NULL,"Mitsubishi Marquise",Mitsubishi,Marquise,NULL,NULL,NULL
NULL,"Mitsubishi Solitaire",Mitsubishi,Solitaire,NULL,NULL,NULL
NULL,NULL,Mitsubishi,MU-2N,NULL,NULL,NULL
"Aircraft Available for ACMI/ Dry Lease or Sale","Boeing 737-400",Boeing,NULL,NULL,737,737-400
"AFFORDABLE CARGO MONSTER","Lockheed C-130A Hercules",Lockheed,Hercules,NULL,C-130,C-130A
NULL,"Thrush Aircraft/Ayres 510 Turbo Thrush","Thrush Aircraft/Ayres",Thrush,NULL,NULL,NULL
"KNOWN ICE, AIR CONDITIONING, VG’s, MFD, G430W, RDR 2000 RADAR","Beech 58P Baron",Beech,Baron,NULL,5?,58P
"Clean 180hp Cherokee with Horton STOL","Piper PA-28-180 Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-180
"Almost like new IFR Skylane","Cessna 182S Skylane",Cessna,Skylane,NULL,182,182S
"Kodiak For sale  X split me up the gut","Quest Aircraft Kodiak","Quest Aircraft",Kodiak,NULL,NULL,NULL
"1984 Corporate Shuttle BAe Jetstream 31, sn657, N657BA","BAe J-31 Jetstream",BAe,Jetstream,NULL,J-31,NULL
"1986 Corporate BAe Jetstream J31, sn 717, N170PC","BAe J-31 Jetstream",BAe,Jetstream,NULL,J-31,NULL
"1978 Learjet 35A, sn 35A-180, N701DA","Learjet 35A",Learjet,NULL,NULL,30,35A
"1979 Piper AeroStar 601P, sn 61P06267963285, N69MF","Aerostar 601P",Piper,NULL,NULL,601,601P
"Clean Skylane with low time engine and prop.","Cessna 182F Skylane",Cessna,Skylane,NULL,182,182F
"Corporately flown and maintained Skylane. 2000 TBO engine.","Cessna 182Q Skylane",Cessna,Skylane,NULL,182,182Q
"170B -Preserved - Pristine - Pampered. LOW times.","Cessna 170B",Cessna,NULL,NULL,170,170B
"CRJ 200 for sale","Bombardier CRJ-200ER",Bombardier,NULL,NULL,CRJ,CRJ-200ER
"CRJ 200 for sale","Bombardier CRJ-200ER",Bombardier,NULL,NULL,CRJ,CRJ-200ER
"CRJ 200 for sale","Bombardier CRJ-200ER",Bombardier,NULL,NULL,CRJ,CRJ-200ER
"Drastic Price Reduction to $3,695,000! All offers/trades considered. Aircraft to be delivered w fresh prop overhauls.","Piaggio P.180",Piaggio,NULL,NULL,P.180,NULL
"A cub with all options installed for bush flights!","Zlin Aerospace Savage Cub","Zlin Aerospace","Savage Cub",NULL,NULL,NULL
