"list_id","title (headline from sites)","title_name (parsed title)","year","make","modelname","modelnameq","modelno","modelnoq","deeplink"
"46","1971 Beech A60 Duke available for Sale","Beech A60 Duke","1971","Beech","Duke",,"60","A60","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-A60/46"
"47","1989 Beech B1900 available for Dry or Wet Lease",,"1989","Beech","1900",,,,
"48","1993 Beechcraft King Air C90B for ACMI","Beech C90B King Air","1993","Beech","King Air",,"90","C90B","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Beech-C90B/48"
"49","1972 Bell 205A-1 for sale","Bell 205A-I Iroquois (Huey)","1972","Bell","205A-I",,,,
"50","1980 Bell 206B III Jet Ranger for sale",,"1980","Bell","206B",,,,
"51","1985 Bell 206BIII Jet Ranger for sale","Bell 206B3 JetRanger II","1985","Bell","JetRanger",,"206","206B3","www.globalplanesearch.com/listing/aircraft-for-sale/Bell-206B/51"
"52","1982 Bell 206BIII Jet Ranger for Lease",,"1982","Bell","206B",,,,
"53","2008 Bell 206B III Jet Ranger for sale.",,"2008","Bell","206B",,,,
"54","1979 Bell 206L1 Longranger for sale","Bell 206L1 LongRanger II","1979","Bell","LongRanger",,"206","206L1","www.globalplanesearch.com/listing/aircraft-for-sale/Bell-206L1/54"
"55","1982 Bell 206L1 C30P Longranger for sale","Bell 206L1+ LongRanger III","1982","Bell","LongRanger",,"206","206L1+","www.globalplanesearch.com/listing/aircraft-for-sale/Bell-206L1/55"
"56","1993 Bell 206L4 for sale",,"1993","Bell","206L4",,,,
"57","Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727","1965","Boeing",,,"727",,"www.globalplanesearch.com/listing/aircraft-for-auction/Boeing/57"
"58","Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727","1966","Boeing",,,"727",,"www.globalplanesearch.com/listing/aircraft-for-auction/Boeing/58"
"59","Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727","1967","Boeing",,,"727",,"www.globalplanesearch.com/listing/aircraft-for-auction/Boeing/59"
"60","Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727","1966","Boeing",,,"727",,"www.globalplanesearch.com/listing/aircraft-for-auction/Boeing/60"
"61","Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727","1971","Boeing",,,"727",,"www.globalplanesearch.com/listing/aircraft-for-auction/Boeing/61"
"62","1990 Boeing 737-300 Available for immediate ACMI lease","Boeing 737-300","1997","Boeing",,,"737","737-300","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Boeing-737-300/62"
"63","1989 Boeing 737-400 Available for immediate ACMI lease","Boeing 737-400","1989","Boeing","737-400",,,,
"64","1991 Boeing 737-500 Available for Sale",,"1991","Boeing","737-500",,,,
"65","1999 Boeing 737-800 Available for immediate ACMI lease","Boeing 737-800","1999","Boeing",,,"737","737-800","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Boeing-737-800/65"
"66","Aircraft Available for immediate ACMI lease","Boeing 737-500","1992","Boeing",,,"737","737-500","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Boeing-737-500/66"
"67","1977 Cessna 172XP for sale",,"1977","Cessna","Hawk XP",,,,
"68","1999 Cessna 206H for sale",,"1999","Cessna","206H",,,,
"69","1978 Cessna 207A for sale",,"1978","Cessna","207A",,,,
"70","1959 Cessna 310C for sale",,"1959","Cessna","310C",,,,
"71","1971 Cessna 414 Chancellor for sale","Cessna 414 Chancellor","1971","Cessna","Chancellor",,"414",,"www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-414/71"
"72","2010 Cessna 510 Citation Mustang for sale",,"2010","Cessna","510",,,,
"73","1990 Cessna Reims F406 for sale","Cessna F406 Caravan II","1990","Cessna","Caravan",,"208","F406","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-F406/73"
"74","2006 Cessna T206 Stationair for sale","Cessna T206 Turbo Stationair","2006","Cessna","Stationair",,"206","T206","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-Turbo-Stationair/74"
"75","2006 Cirrus SR-22G2 GTS available for sale",,"2006","Cirrus","SR-22G2",,,,
"76","1977 Enstrom 280C for sale","Enstrom F-280C","1977","Enstrom",,,"F-280","F-280C","www.globalplanesearch.com/listing/aircraft-for-sale/Enstrom-F-280C/76"
"77","2005 Enstrom 280FX for sale","Enstrom F-280FX","2005","Enstrom",,,"F-280","F-280FX","www.globalplanesearch.com/listing/aircraft-for-sale/Enstrom-F-280FX/77"
"78","2006 Enstrom 480-B for sale",,"2006","Enstrom","F-480B",,,,
"79","Hydarulic Ground Handling for sale",,,"Eurocopter","AS 350",,,,
"80","Simplex model 5100 Spray System for sale",,,"Eurocopter","AS 350",,,,
"81","1989 Eurocopter AS350 B2 Ecureuil for sale or dry lease",,"1989","Eurocopter","AS 350B2",,,,
"82","2007 Eurocopter AS350 B2 Ecureuil for sale",,"2007","Eurocopter","AS 350B2",,,,
"83","AS350 B3 for lease",,,"Eurocopter","AS 350B3",,,,
"84","2011 AS 350B3 for delivery May 2011",,"2011","Eurocopter","AS 350B3",,,,
"85","1981 AS350 BA for sale",,"1981","Eurocopter","AS 350BA",,,,
"86","1990 Eurocopter AS 350BA Ecureuil for sale",,"1990","Eurocopter","AS 350BA",,,,
"87","1979 Aerospatiale AS350B Ecureuil for sale","Eurocopter AS 350B Ecureuil","1979","Eurocopter","Ecureuil",,"AS 350","AS 350B","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-350B/87"
"88","1998 Eurocopter EC 120B for sale.TSN 1650h","Eurocopter EC 120B","1998","Eurocopter","Colibri",,"EC 120","EC 120B","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-EC-120B/88"
"89","1996 Eurocopter SA 315B Lama for sale",,"1996","Eurocopter","SA 315B",,,,
"90","1959 Eurocopter SE 3130 for sale",,"1959","Eurocopter","SE 3130",,,,
"91","Fokker F100 available for immediate ACMI lease","Fokker 100","1991","Fokker",,,"100",,"www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Fokker-100/91"
"92","1971 Fokker F27 available for Sale / Dry / Wet Lease",,"1971","Fokker","F.27",,,,
"93","2009 Glasair III for sale",,"2009","Stoddard-Hamilton","Glasair III",,,,
"94","Grumman G44 Widgeon",,"1944","Grumman","Widgeon",,,,
"95","2011 Guimbal Cabri G2 Sale",,"2011","Guimbal","Cabri",,,,
"96","Turbo Jet - Hispano Aviacion HA-200 Saeta",,,"Hispano Aviación","HA-200",,,,
"97","2006 Hawker 400XP for sale","Hawker Siddeley 125-400XP","2006","Hawker Siddeley",,,"125","125-400XP","www.globalplanesearch.com/listing/aircraft-for-sale/Hawker-Siddeley/97"
"98","1987 Hawker 800B for sale","Hawker Siddeley 125-800B","1987","Hawker Siddeley",,,"125","125-800B","www.globalplanesearch.com/listing/aircraft-for-sale/Hawker-Siddeley/98"
"99","1978 Hughes 269C for sale","Hughes 269C","1978","Hughes",,,"269","269C","www.globalplanesearch.com/listing/aircraft-for-sale/Hughes-269C/99"
"100","1979 Hughes 300C for sale",,"1979","Hughes","300C",,,,
"101","1983 LET L-410 Turbolet for ACMI / Dry Lease","Let L-410 Turbolet","1983","Let","Turbolet",,"L-410",,"www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Let-L-410/101"
"102","2009 MD Helicopter 500E for sale",,"2009","MD Helicopters","500E",,,,
"103","2009 MD Helicopter 500E for sale",,"2009","MD Helicopters","500E",,,,
"104","2011 MD Helicopter 500E for sale",,"2011","MD Helicopters","500E",,,,
"105","1999 MD Helicopter 520N Notar for sale",,"1999","MD Helicopters","520N",,,,
"106","2013 MD530FF/MD540FF line position for sale",,"2013","MD Helicopters","530F",,,,
"107","1995 McDonnell Douglas MD-82 for ACMI Lease","McDonnell Douglas MD-80-82","1995","McDonnell Douglas",,,"MD-80","MD-80-82","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/McDonnell-Douglas-MD-80-82/107"
"108","2007 MD Helicopter 902 Explorer for sale",,"2007","MD Helicopters","Explorer",,,,
"109","The Nigerian Air Force is auctioning the following military aircraft","MiG 15 BIS",,"MiG",,,"15","15 BIS","www.globalplanesearch.com/listing/aircraft-for-auction/MiG-15-BIS/109"
"110","The Nigerian Air Force is selling the following military aircraft","MiG 15 BIS",,"MiG",,,,,"www.globalplanesearch.com/listing/aircraft-for-auction/MiG-15-BIS/110"
"111","2x MIL MI-8MTV-1 for Lease",,,"Mil","MI-8MTV-1",,,,
"112","1981 Mooney 231/252 Rocket for sale",,"1981","Mooney","Rocket",,,,
"113","1958 North American T-28B for sale",,"1958","North American","T-28B",,,,
"114","1968 Piper PA-24-260B for sale","Piper PA-24-260B Comanche","1968","Piper","Comanche",,"PA-24","PA-24-260B","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-24-260B/114"
"115","2006 Piper PA28-161 Warrior III for sale","Piper PA-28-161 Warrior III","2006","Piper","Cherokee",,"PA-28","PA-28-161","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-28-161/115"
"116","1973 Piper PA31 Chieftain for sale","Piper PA-31-350 Chieftain","1973","Piper","Navajo",,"PA-31","PA-31-350","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-31-350/116"
"117","1978 Piper PA31-350 Chieftain for sale","Piper PA-31-350 Chieftain","1978","Piper","Navajo",,"PA-31","PA-31-350","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-31-350/117"
"118","1980 Piper PA-32 Turbo Saratoga for sale",,"1980","Piper","PA-32",,,,
"119","1998 Piper PA34-220T Seneca V for sale","Piper PA-34-220T Seneca V","1998","Piper","Seneca",,"PA-34","PA-34-220T","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-34-220T/119"
"120","1991 Robinson R-22 Betafor sale",,"1991","Robinson","R-22",,,,
"121","1989 Robinson R22 Mariner for sale",,"1989","Robinson","R-22",,,,
"122","2006 Robinson R44 Raven I for sale","Robinson R-44 Raven","2006","Robinson","Raven",,"R-44",,"www.globalplanesearch.com/listing/aircraft-for-sale/Robinson-R-44/122"
"123","2007 Robinson R44 Raven II for sale",,"2007","Robinson","R-44",,,,
"124","2009 Roko Aero NG4 Ultralight / LSA-plane Metal frame for sale",,"2009","Roko Aero","NG4",,,,
"125","1997 Saab 2000 available for ACMI Lease","Saab 2000","1997","Saab",,,"2000",,"www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Saab-2000/125"
"126","2006 Schweizer 300C for sale","Schweizer 300C","2006","Schweizer",,,"300","300C","www.globalplanesearch.com/listing/aircraft-for-sale/Schweizer-300C/126"
"127","1932 Spartan Aircraft Spartan II for sale","Simmonds/Spartan Aircraft Spartan Three Seater","1932","Simmonds/Spartan Aircraft","Spartan",,,,"www.globalplanesearch.com/listing/aircraft-for-sale/Simmonds-Spartan-Aircraft-Spartan-Three-Seater/127"
"128","1990 Stemme S10V for sale",,"1990","Stemme","S-10V",,,,
"129","Twin Commander 690a 1976  - AERIAL SURVEY – DUAL LARGE FORMAT HATCHES.",,"1976","Aero Commander","690A",,,,
"130","2002 Beechcraft Kingair C90B available for Sale","Beech C90B King Air","2002","Beech","King Air",,"90","C90B","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-C90B/130"
"131","2009 Bell 407 for sale",,"2009","Bell","407",,,,
"132","1985 Eurocopter AS 355FX2 for sale","Eurocopter AS 355FX2 Ecureuil II","1985","Eurocopter","Ecureuil",,"AS 355","AS 355FX2","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-355FX2/132"
"133","Mooney M20C 1962 for Sale",,"1962","Mooney","M20C",,,,
"134","2001 Micco SP26 360TTAFE three blade prop, full acro package, GPS, auto pilot.",,"2001","Micco","SP26",,,,
"135","1976 Piper Low Air Frame Pawnee PA-25-260 for sale.",,"1976","Piper","PA-25-260",,,,
"136","1973 Cessna 182-P w/floats FOR SALE.","Cessna 182P Skylane","1973","Cessna","182P",,,,
"137","1992 Agusta A109K2 for sale.","Agusta A109K II","1992","Agusta",,,"A109","A109K II","www.globalplanesearch.com/listing/aircraft-for-sale/Agusta-A109K-II/137"
"138","This is an excellent aircraft",,"1995","Boeing","747-209",,,,
"139",,,"2005","Aces High","Cuby I",,,,
"140","1990 Bell Jetranger 206B3",,"1990","Bell","206B3",,,,
"141","EUROCOPTER AS350B2 - Best Bidder","Eurocopter AS 350B2 Ecureuil","2002","Eurocopter","Ecureuil",,"AS 350","AS 350B2","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-350B2/141"
"142","EUROCOPTER AS350B3","Eurocopter AS 350B3 Ecureuil","2008","Eurocopter","Ecureuil",,"AS 350","AS 350B3","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-350B3/142"
"143","EUROCOPTER AS350B3 - Best Bidder","Eurocopter AS 350B3 Ecureuil","2009","Eurocopter","Ecureuil",,"AS 350","AS 350B3","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-350B3/143"
"144","777-300ER For Sell",,"2013","Boeing","777-300ER",,,,
"145",,,"2000","Cessna","Citation X",,,,
"146","Quickie Tri-Q200 (unfinished)",,"1983","Quickie","Tri-Q",,,,
"147",,,"1979","Cessna","182Q",,,,
"148","Beautiful business LONG RANGE Cessna F-172-M with sunroof, new paint, new interiour and GNS430","Cessna F172M","1976","Cessna",,,"172","F172M","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-F172M/148"
"149",,"Air Tractor AT-802A","2004","Air Tractor",,,"AT-802","AT-802A","www.globalplanesearch.com/listing/aircraft-for-sale/Air-Tractor-AT-802A/149"
"150","Cessna 340A Extended Range Fuel Tanks",,"1976","Cessna","340A",,,,
"151","Eurocopter AS 355NP For Sale",,"2007","Eurocopter","AS 355NP",,,,
"152","LUSCOMBE 11A SEDAN VERY RARE",,"1948","Luscombe","11a",,,,
"153","Cessna 206H Amphibian","Cessna 206H","1999","Cessna",,,"206","206H","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-206H/153"
"154","cessna 180h amphib",,"1969","Cessna","180H",,,,
"155",,"Schweizer 300C","1995","Schweizer",,,"300","300C","www.globalplanesearch.com/listing/aircraft-for-sale/Schweizer-300C/155"
"156","Aerobat",,"1973","Cessna","150",,,,
"157",,"Robinson R-44 Clipper II","2005","Robinson","Clipper",,"R-44",,"www.globalplanesearch.com/listing/aircraft-for-sale/Robinson-Clipper-II/157"
"158",,,"1980","Pitts","Super Stinker",,,,
"159","130 Total Time","Grumman AA5A Cheetah","1976","Grumman","Cheetah",,"AA5","AA5A","www.globalplanesearch.com/listing/aircraft-for-sale/Grumman-AA5A/159"
"160",,,"1989","Bell","206B3",,,,
"161",,,"2000","Aero Commander",,,,,
"162",,,"1918","Acro Sport Inc.","Pober Junior Ace",,,,
"163","Colemill Executive Hot Rod",,"1965","Cessna","320C",,,,
"164","Sylark Dova DV-1 Rotax 912 ULS",,"2007","Dova Aircraft","DV-1",,,,
"165","Auster Immaculate Cond.","Auster J-5G","1955","Auster",,,"J-5","J-5G","www.globalplanesearch.com/listing/aircraft-for-sale/Auster-J-5G/165"
"166","1999 TeST Alpin TM Motorglider",,"1999","TeST","Alpin TM",,,,
"167",,,"2002","Schweizer","300CB",,,,
"168","Low Time VFR 212","Bell 212","1973","Bell",,,"212",,"www.globalplanesearch.com/listing/aircraft-for-sale/Bell-212/168"
"169","mostly restored warbird","Lockheed B-34/PV-2 Harpoon","1944","Lockheed","Ventura",,"B-34","B-34/PV-2","www.globalplanesearch.com/listing/aircraft-for-sale/Lockheed-B-34-PV-2/169"
"170","G-WARR PA28 161 WARRIOR",,"1979","Piper","PA-28-161",,,,
"171",,"Eurocopter SA 318C Alouette","1970","Eurocopter","Alouette",,"SA 318","SA 318C","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-SA-318C/171"
"172","Pathmaker, AULA",,"2003","Ekolot","JK-05",,,,
"173","Piper Turbo Saratoga SP - PA-32R-301T",,"1982","Piper","Turbo Saratoga SP",,,,
"174","Piper Malibu 310 P",,"1985","Piper","PA-46-310P",,,,
"175",,"Cessna 180 Skywagon","1955","Cessna","Skywagon",,"180",,"www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-180/175"
"176",,,"2000","Adams","A55S",,,,
"177","AN-2 TD with  ENGINE TT ONLY 58h !!!!!! PRIVAT OWNER","Antonov An-2TD Colt","1978","Antonov","Colt",,"An-2","An-2TD","www.globalplanesearch.com/listing/aircraft-for-sale/Antonov-An-2/177"
"178","Enstrom 280 FX Sharc",,"1988","Enstrom","F-280FX",,,,
"179",,,"1975","Boeing","737-229C",,,,
"180","Standard Certified Factory Build","Pitts S1-T","1983","Pitts",,,"S1","S1-T","www.globalplanesearch.com/listing/aircraft-for-sale/Pitts-S1-T/180"
"181",,,"1992","Extra Flugzeugbau","EA-300S",,,,
"182","Supercub L-21B Warbird","Piper PA-18-160 Super Cub","1954","Piper","Cub",,"PA-18","PA-18-160","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-18-160/182"
"183","Challenger II 582 Premium Kit",,"2007","Quad City","Challenger II",,,,
"184","IL-76 for Wet Lease in Africa (preferably)",,"1986","Ilyushin","IL-76TD",,,,
"185","IL-76 for Wet Lease in Africa (preferably)",,"1988","Ilyushin","IL-76TD",,,,
"186","IL-76 for Wet Lease in Africa (preferably)",,"1984","Ilyushin","IL-76TD",,,,
"187","B737-200 PAX 111 -17A ENG GRAVEL EQUIPED","Boeing 737-201","1986","Boeing",,,"737","737-201","www.globalplanesearch.com/listing/aircraft-for-sale/Boeing-737-201/187"
"188","Flight Design  CTLS Advanced Europe",,"2010","Flight Design","CTLS",,,,
"189","MXP-640 Amigo",,"1999","I.C.P.","Amigo",,,,
"190","Comco Ikarus C42",,"1990","Comco Ikarus","C-42",,,,
"191","BEST VALUE & DEAL","Learjet 60-XR","2010","Learjet",,,"60","60-XR","www.globalplanesearch.com/listing/aircraft-for-sale/Learjet-60-XR/191"
"192","NEXT TO SELL","Beech 400A Beechjet","1996","Beech","Beechjet",,"400","400A","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-400A/192"
"193","NEXT ONE TO SELL","Bombardier Challenger 605","2009","Bombardier","Challenger",,,,"www.globalplanesearch.com/listing/aircraft-for-sale/Bombardier-Challenger-605/193"
"194","FLIR HD aerial camera for sale",,"2008","Robinson","NewsCopter",,,,
"195","Cessna 210","Cessna 210G Centurion","1967","Cessna","Centurion",,"210","210G","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-210G/195"
"196",,"Piper PA-46-500TP Malibu Meridian","2001","Piper","Malibu",,"PA-46","PA-46-500TP","www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-46-500TP/196"
"197","Big engine, Big prop, Big floats, Big performance!","Cessna 175 Skylark","1958","Cessna","Skylark",,"175",,"www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-175/197"
"198","2008 Cessna 172S Skyhawk SP with NAV III (G1000), GFC700 Autopilot and WAAS","Cessna 172S Skyhawk SP","2008","Cessna","Skyhawk",,"172","172S","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-172S/198"
"199","Sky Raider Oshkosh Grand Champion","Flying K Enterprises Sky Raider II","2003","Flying K Enterprises","Sky Raider",,,,"www.globalplanesearch.com/listing/aircraft-for-sale/Flying-K-Enterprises-Sky-Raider-II/199"
"200","Enstrom 280FX Shark","Enstrom F-280FX Shark","1988","Enstrom","Shark",,"F-280","F-280FX","www.globalplanesearch.com/listing/aircraft-for-sale/Enstrom-F-280FX/200"
"201","1998 Maule MXT-7-180A   $30K Avionics Upgrade 2012",,"1998","Maule","MXT7-180A",,,,
"202","Exceptional Specification MD-520N very low hours","McDonnell Douglas MD-520N","2008","McDonnell Douglas",,,"MD-520","MD-520N","www.globalplanesearch.com/listing/aircraft-for-sale/McDonnell-Douglas-MD-520N/202"
"203","Nice and clean R44 Raven 1 for sale","Robinson R-44 Raven","2005","Robinson","Raven",,"R-44",,"www.globalplanesearch.com/listing/aircraft-for-sale/Robinson-R-44/203"
"204","VIP Metallic Black MD900","McDonnell Douglas MD-900 MD Explorer","1996","McDonnell Douglas","MD Explorer",,"MD-900",,"www.globalplanesearch.com/listing/aircraft-for-sale/McDonnell-Douglas-MD-Explorer/204"
"205","Exceptional VVIP MD902 Explorer","McDonnell Douglas MD-902 MD Explorer","2007","McDonnell Douglas","MD Explorer",,"MD-902",,"www.globalplanesearch.com/listing/aircraft-for-sale/McDonnell-Douglas-MD-Explorer/205"
"206","Beautiful Inside and Out","Cessna 182 Skylane II","1971","Cessna","Skylane",,"182",,"www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-Skylane-II/206"
"207","Agusta Bell 206","Bell 206B3 JetRanger III","1980","Bell","JetRanger",,"206","206B3","www.globalplanesearch.com/listing/aircraft-for-sale/Bell-JetRanger-III/207"
"208","Superb Enstrom 480B","Enstrom F-480B","2007","Enstrom",,,"F-480","F-480B","www.globalplanesearch.com/listing/aircraft-for-sale/Enstrom-F-480B/208"
"209","Fully Reloaded King Air B200-G1000","Beech B200 King Air","1997","Beech","King Air",,"200","B200","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-B200/209"
"210","Beautiful Citation Bravo-Recent Paint and Interior","Cessna 550 Citation Bravo","2002","Cessna","Citation",,"5??","550","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-Citation-Bravo/210"
"211","Late Model Hawker 400XP","Hawker Siddeley 125-400XP","2008","Beech",,,"125","125-400XP","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-400XP/211"
"212","A36 Bonanza Jaguar Edition","Beech A36 Bonanza","1999","Beech","Bonanza",,"3?","A36","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-Bonanza/212"
"213","Beechjet 400A-Low Total Time!","Beech 400A Beechjet","1991","Beech","Beechjet",,"400","400A","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-Beechjet/213"
"214","Low time REMAN engines","Beech 95-B55 Baron","1975","Beech","Baron",,"5?","95-B55","www.globalplanesearch.com/listing/aircraft-for-sale/Beech-95-B55/214"
"215","aircraft for sale low time and good records","Bell 212 Iroquois (Twin Huey)","1977","Bell","212/UH-1N",,,,
"216","1965 Twin Comanche","Piper PA-30 Twin Comanche","1965","Piper","Comanche",,"PA-30",,"www.globalplanesearch.com/listing/aircraft-for-sale/Piper-PA-30/216"
"217","1978 Lockheed JetStar II  Stage III Cert.","Lockheed L-1329 Jetstar II","1978","Lockheed","Jetstar",,"L-1329",,"www.globalplanesearch.com/listing/aircraft-for-sale/Lockheed-Jetstar-II/217"
"218","2010 Royal Turbine Duke","Beech 60 Duke","1980","Beech","Duke",,"60",,"www.globalplanesearch.com/listing/aircraft-for-sale/Beech-60/218"
"219","1969 Cessna 401A","Cessna 401A","1969","Cessna",,,"401","401A","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-401A/219"
"220","No Damage History  New Paint 2013","Bell 407","1998","Bell",,,"407",,"www.globalplanesearch.com/listing/aircraft-for-sale/Bell-407/220"
"221","180HP / FLOATKIT & V-BRACE","Cessna 172L","1972","Cessna",,,"172","172L","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-172L/221"
"222","Cameron A-400 Complete System /w Truck (Turnkey System",,"2012","Cameron Balloons","Complete System",,,,
"223",,"Eurocopter AS 355N Ecureuil II","2008","Eurocopter","Ecureuil",,"AS 355","AS 355N","www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-AS-355N/223"
"224",,"Mil MI-8MTV-1","1991","Mil","MI-8MTV-1",,,,
"225","New to Market:  Well Equipped Lear 45XR","Learjet 45-XR","2009","Learjet",,,"45","45-XR","www.globalplanesearch.com/listing/aircraft-for-sale/Learjet-45-XR/225"
"226","Motivated Seller:  Lear 31A","Learjet 31A","1994","Learjet",,,"30","31A","www.globalplanesearch.com/listing/aircraft-for-sale/Learjet-31A/226"
"227","Meticulously Maintained 1994 Citation Jet","Cessna 525 Citation CJ1","1994","Cessna","Citation",,"5??","525","www.globalplanesearch.com/listing/aircraft-for-sale/Cessna-525/227"
"228",,"Bell","1980","Bell",,,,,"www.globalplanesearch.com/listing/aircraft-for-sale/Bell-212HP/228"
"229","2003 Hawker 800XP","Hawker Siddeley 125-800XP","2003","Hawker Siddeley",,,"125","125-800XP","www.globalplanesearch.com/listing/aircraft-for-sale/Hawker-Siddeley-125-800XP/229"
"230","FOR SALE: 2004 Sikorsky S76C+, 1400TT",,"2004","Sikorsky","S-76C+",,,,
"231","FOR SALE: 2003 Eurocopter EC155B, 960TT",,"2003","Eurocopter","EC 155B",,,,
"232","FOR SALE: 2003 Eurocopter EC130B4, 1530TT",,"2003","Eurocopter","EC 130-B4",,,,
"233","FOR SALE: 1981 Eurocopter AS350BA, 15,043TT",,"1981","Eurocopter","AS 350BA",,,,
"234","FOR SALE: 2011 Eurocopter EC135T2+, 80TT",,"2011","Eurocopter","EC 135T2+",,,,
"235","Eurocopter EC120 - Private","Eurocopter EC 120 Colibri","2007","Eurocopter","Colibri",,"EC 120",,"www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-EC-120/235"
"236","Brand new factory build SAM LS",,"2013","Sam Aircraft","SAM LS",,,,
